initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,STABILIZED,None,23.524432,4.695417,29.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,None,0.09911267000000001,12.8491955,81.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,None,0.18114907000000002,12.628384,73.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LAND,None,0.0909449,12.631402,73.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,POSCTL,615.0,0.1369882,12.447537,74.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LOITER,260.0,0.09277669000000002,12.8536625,81.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LOITER,550.0,14.252199741999998,12.567279,62.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,ALTCTL,0.0,14.259861035999998,12.564662,57.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,None,0.09679830000000011,12.854689,79.0,True,True,False
OFFBOARD,Takeoff,None,No,None,None,No,OFFBOARD,None,0.14344208000000003,12.987076,77.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,OFFBOARD,615.0,0.21134777000000002,12.770741,74.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,260.0,0.08989090000000002,12.87014,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,None,0.07812679000000003,12.810108,81.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,OFFBOARD,None,0.14359748000000003,12.586675,73.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,AUTO.LAND,None,0.0634129000000001,12.603329,73.0,True,False,True
AUTO.LAND,Disarm,None,No,None,None,No,AUTO.RTL,None,0.17753300000000038,12.406936,73.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,None,0.11964817000000003,12.503011,76.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,None,0.09978660000000006,12.852022,79.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Land mode,No,AUTO.LAND,None,24.260011,4.8361382,36.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,ALTCTL,615.0,33.52205063,0.009619804,83.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.RTL,None,14.148279375,29.783222,83.0,False,False,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,None,0.09869184000000003,12.874651,80.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LAND,600.0,0.13930756000000002,12.621305,74.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,ALTCTL,None,0.10169235000000001,12.873261,81.0,True,False,True
