timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6976124000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976176000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976228000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976280000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976332000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976380000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976432000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976488000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976536000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976588000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976644000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976696000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976748000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976796000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976852000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976900000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976956000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977008000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977060000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977112000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977164000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977216000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977268000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977316000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977372000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977424000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977472000,10118148,0.01,5.0,1.03,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977528000,10118148,0.01,5.0,1.61,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977580000,10118148,0.01,5.0,1.7199999,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
