timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
7008120000,4000.0,0.13674296,3670.3188,0.0,445849,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7009376000,4000.0,0.13674296,3483.0679,0.0,445932,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7010628000,4000.0,0.13674296,3821.7134,0.0,446012,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7011880000,4000.0,0.13674296,3791.8328,0.0,446093,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7012880000,4000.0,0.13674296,3747.012,0.0,446154,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7013136000,4000.0,0.13674296,3561.7532,0.0,446168,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7014396000,4000.0,0.13674296,3751.9922,0.0,446253,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7015652000,4000.0,0.13674296,3747.012,0.0,446333,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7016904000,4000.0,0.13674296,3463.1475,0.0,446407,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7017904000,4000.0,0.13674296,3677.291,0.0,446475,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7018156000,4000.0,0.13674296,3834.6614,0.0,446489,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7019416000,4000.0,0.13674296,3651.3945,0.0,446569,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7020672000,4000.0,0.13674296,3773.9045,0.0,446654,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7021932000,4000.0,0.13674296,3921.315,0.0,446732,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7022932000,4000.0,0.13674296,3536.8528,0.0,446798,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7023188000,4000.0,0.13674296,3730.0798,0.0,446811,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7024440000,4000.0,0.13674296,3642.4304,0.0,446895,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7025700000,4000.0,0.13674296,3521.9124,0.0,446969,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7026700000,4000.0,0.13674296,3762.9482,0.0,447037,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7026952000,4000.0,0.13674296,3762.9482,0.0,447050,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7028208000,4000.0,0.13674296,4056.773,0.0,447133,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7029460000,4000.0,0.13674296,3614.542,0.0,447218,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7030716000,4000.0,0.13674296,3650.3984,0.0,447289,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7031716000,4000.0,0.13674296,3730.0798,0.0,447356,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7031968000,4000.0,0.13674296,3730.0798,0.0,447367,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7033224000,4000.0,0.13674296,3650.3984,0.0,447449,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7034480000,4000.0,0.13674296,3708.1675,0.0,447525,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7035732000,4000.0,0.13674296,3521.9124,0.0,447614,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036732000,4000.0,0.13674296,4370.518,0.0,447680,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7036988000,4000.0,0.13674296,4370.518,0.0,447693,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7038248000,4000.0,0.13674296,3478.0876,0.0,447774,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7039500000,4000.0,0.13674296,3786.8528,0.0,447849,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7040752000,4000.0,0.13674296,3662.3506,0.0,447927,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7041752000,4000.0,0.13674296,3390.4382,0.0,447991,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7042008000,4000.0,0.13674296,3390.4382,0.0,448009,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7043260000,4000.0,0.13674296,3730.0798,0.0,448087,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7044512000,4000.0,0.13674296,4031.8726,0.0,448171,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7045768000,4000.0,0.13674296,3559.761,0.0,448250,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7046768000,4000.0,0.13674296,3603.5857,0.0,448312,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7047028000,4000.0,0.13674296,3603.5857,0.0,448332,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7048284000,4000.0,0.13674296,3431.275,0.0,448405,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
