timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
6984120000,0.12784241,0.3098672,-1.078569,0.0,0.8410047,0.13323747,0.09973351,-0.5147932,0.0,0.0,-0.44352952,0,0,0,0,0
6984176000,0.13351929,0.321554,-1.0792451,0.0,0.8394649,0.13856316,0.10319723,-0.5152177,0.0,0.0,-0.44850418,0,0,0,0,0
6984224000,0.13169579,0.31565621,-1.0793766,0.0,0.84005594,0.13633804,0.101149745,-0.5152541,0.0,0.0,-0.4469838,0,0,0,0,0
6984272000,0.12677108,0.3091362,-1.0794259,0.0,0.8409154,0.13264762,0.09964133,-0.5151093,0.0,0.0,-0.4444425,0,0,0,0,0
6984328000,0.124587946,0.30087745,-1.0794334,0.0,0.8417254,0.12967016,0.09668848,-0.5151071,0.0,0.0,-0.44189033,0,0,0,0,0
6984368000,0.122741856,0.29877672,-1.0794334,0.0,0.8420118,0.1283687,0.0962697,-0.5150435,0.0,0.0,-0.44154516,0,0,0,0,0
6984424000,0.12788805,0.31299222,-1.0847883,0.0,0.8391388,0.13434799,0.10063424,-0.51736784,0.0,0.0,-0.44722182,0,0,0,0,0
6984472000,0.12461781,0.30697453,-1.0852168,0.0,0.8397391,0.13149017,0.09889581,-0.51746327,0.0,0.0,-0.44548997,0,0,0,0,0
6984520000,0.122299045,0.29979587,-1.0852237,0.0,0.8404648,0.1287165,0.096445315,-0.517445,0.0,0.0,-0.4432283,0,0,0,0,0
6984576000,0.12850194,0.31232053,-1.0853983,0.0,0.83899534,0.13446808,0.10014913,-0.51766324,0.0,0.0,-0.4491071,0,0,0,0,0
6984624000,0.12627156,0.30602163,-1.0856491,0.0,0.8395957,0.13196695,0.09803456,-0.5177384,0.0,0.0,-0.4467429,0,0,0,0,0
6984672000,0.1232732,0.30026647,-1.0860604,0.0,0.840148,0.12928419,0.09633915,-0.5178376,0.0,0.0,-0.44526795,0,0,0,0,0
