timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
6984972000,6984892000,2.6249421e-05,0.0049995487,0.011777698,8389351,0,0.37189293,0.40184358,0.015470241,0.033057537,0.0041602515,0.0067675076,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6985172000,6985092000,5.769542e-05,0.006632704,0.013468122,8389351,0,0.36937013,0.40380085,0.012112707,0.03079297,0.0032065765,0.0042200773,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6985372000,6985292000,2.3745515e-05,0.0042226566,0.009338002,8389351,0,0.36705932,0.40563062,0.006779581,0.023256084,0.003290081,0.0049961032,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6985572000,6985492000,3.9775525e-05,0.0050325585,0.012072927,8389351,0,0.36492705,0.40462938,0.003947325,0.02868458,0.00059487653,0.004352174,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6985772000,6985692000,7.1721544e-05,0.0057290443,0.011911337,8389351,0,0.3629435,0.40623498,0.017579218,0.03020032,0.003904882,0.0008314714,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6985972000,6985892000,4.43357e-05,0.0029781638,0.005960628,8389351,0,0.38199085,0.4150122,0.009038764,0.03020032,0.003904882,0.0048057614,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6986172000,6986092000,3.5461268e-05,0.0028148086,0.0056781927,8389351,0,0.37831053,0.4131498,0.010893592,0.016906712,0.0040299776,0.009219624,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6986372000,6986292000,6.814306e-05,0.0054937396,0.011613021,8389271,0,0.37499905,0.41415527,0.009069935,0.039959926,0.0030732132,0.003132842,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6986572000,6986492000,6.497694e-05,0.0034299332,0.0070945723,8389271,0,0.37199408,0.41224316,0.00021795103,0.015886877,0.004816067,0.0028980384,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6986772000,6986692000,9.3681985e-05,0.0024598367,0.006429143,8389271,0,0.36924806,0.41317558,0.0039591384,0.04068561,0.005359903,0.003932881,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
