timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
6995392000,6995392000,0.42859128,1.5427023e-06,-0.11671946,1.0008345,0.0015124527,1.0,1
6995488000,6995488000,0.42873427,1.5371179e-06,-0.46904227,1.0008383,0.024424043,1.0,1
6995592000,6995592000,0.42891657,1.5312627e-06,-0.34954992,1.0008343,0.013564809,1.0,1
6995688000,6995688000,0.4291191,1.5260746e-06,-0.51322794,1.0008212,0.029242976,1.0,1
6995792000,6995792000,0.42936426,1.5206903e-06,-0.52540463,1.0008134,0.030647298,1.0,1
6995896000,6995896000,0.42964914,1.5155017e-06,-0.6410412,1.0008075,0.045622475,1.0,1
6995992000,6995992000,0.4299006,1.5108287e-06,-0.5737792,1.0008036,0.036550913,1.0,1
6996096000,6996096000,0.43017563,1.5058787e-06,-0.61790323,1.0008024,0.0423887,1.0,1
6996192000,6996192000,0.4304018,1.5013742e-06,-0.54066044,1.0008004,0.03245333,1.0,1
6996288000,6996288000,0.43063956,1.4969194e-06,-0.5892969,1.0008017,0.038554735,1.0,1
6996392000,6996392000,0.43085322,1.4921427e-06,-0.46970865,1.0007993,0.024494447,1.0,1
6996488000,6996488000,0.4310344,1.4878392e-06,-0.6831599,1.0007942,0.05181523,1.0,1
6996592000,6996592000,0.43124267,1.4832999e-06,-0.52274746,1.0007918,0.030338747,1.0,1
6996688000,6996688000,0.43142965,1.4791934e-06,-0.25846943,1.0007905,0.007417076,1.0,1
6996792000,6996792000,0.4315919,1.4748432e-06,-0.37217557,1.000787,0.015378415,1.0,1
6996888000,6996888000,0.43174157,1.4708993e-06,-0.26012447,1.0007867,0.007512395,1.0,1
6996992000,6996992000,0.43188298,1.4667064e-06,-0.3222164,1.0007837,0.011526899,1.0,1
6997088000,6997088000,0.4320097,1.4628965e-06,-0.2728698,1.0007823,0.008266637,1.0,1
6997192000,6997192000,0.43214428,1.4588559e-06,-0.37296814,1.0007803,0.015444085,1.0,1
6997288000,6997288000,0.43226594,1.4551689e-06,-0.3066376,1.0007793,0.010439266,1.0,1
6997392000,6997392000,0.4324137,1.4512457e-06,-0.85028553,1.000777,0.08026935,1.0,1
6997488000,6997488000,0.4325134,1.4476852e-06,-0.33876175,1.0007752,0.01274118,1.0,1
6997592000,6997592000,0.4326337,1.4439125e-06,-0.12379575,1.0007741,0.0017015035,1.0,1
6997688000,6997688000,0.43274084,1.4405032e-06,-0.3307758,1.000772,0.01214758,1.0,1
6997792000,6997792000,0.4328591,1.4368451e-06,-0.22199015,1.0007712,0.0054712947,1.0,1
6997888000,6997888000,0.4329563,1.4335574e-06,-0.20500202,1.0007681,0.004665953,1.0,1
6997992000,6997992000,0.4330596,1.4300758e-06,-0.24794286,1.0007648,0.006825409,1.0,1
6998088000,6998088000,0.43312117,1.4272878e-06,-0.060248695,1.0007157,0.00040303436,1.0,1
6998192000,6998192000,0.43327874,1.4245962e-06,-0.4180209,1.0007367,0.019401427,1.0,1
6998288000,6998288000,0.4334233,1.4218159e-06,-0.272838,1.0007527,0.008264953,1.0,1
6998392000,6998392000,0.43354794,1.4186261e-06,-0.29640904,1.0007602,0.0097546205,1.0,1
6998496000,6998496000,0.43365318,1.4153668e-06,-0.20742944,1.0007625,0.004777132,1.0,1
6998592000,6998592000,0.43372732,1.4123962e-06,0.32651615,1.0007622,0.011836844,1.0,1
6998696000,6998696000,0.43383518,1.4092109e-06,-0.34238192,1.0007603,0.013015146,1.0,1
6998792000,6998792000,0.4339349,1.4063139e-06,-0.070345834,1.0007619,0.0005494188,1.0,1
6998888000,6998888000,0.43400124,1.4034927e-06,-0.20285803,1.0007559,0.004568922,1.0,1
6998992000,6998992000,0.43409857,1.4005127e-06,-0.10490316,1.0007547,0.0012218194,1.0,1
6999088000,6999088000,0.43418452,1.3978309e-06,-0.24703757,1.0007519,0.0067757466,1.0,1
6999192000,6999192000,0.43427795,1.3949726e-06,-0.20415321,1.0007495,0.0046274797,1.0,1
6999288000,6999288000,0.43436113,1.3924148e-06,-0.45191902,1.0007464,0.022675386,1.0,1
6999392000,6999392000,0.43444973,1.3897306e-06,-0.28045288,1.0007424,0.00873283,1.0,1
6999488000,6999488000,0.4345471,1.3872963e-06,-0.06312078,1.0007452,0.00044236297,1.0,1
6999592000,6999592000,0.43463567,1.3846962e-06,-0.26006356,1.0007429,0.007509205,1.0,1
6999688000,6999688000,0.43471086,1.3823285e-06,-0.12784308,1.0007412,0.0018146387,1.0,1
6999792000,6999792000,0.4348038,1.3798243e-06,-0.16209877,1.0007393,0.0029173996,1.0,1
6999896000,6999896000,0.43487453,1.3774034e-06,-0.21794294,1.0007348,0.0052738055,1.0,1
6999992000,6999992000,0.43496343,1.3752295e-06,-0.06555304,1.0007341,0.00047711653,1.0,1
7000088000,7000088000,0.43502468,1.3731081e-06,-0.25388807,1.0007306,0.007156899,1.0,1
7000192000,7000192000,0.43510965,1.3708702e-06,-0.10315384,1.000729,0.0011814404,1.0,1
7000288000,7000288000,0.43519545,1.3688659e-06,-0.25736228,1.0007278,0.0073541305,1.0,1
7000392000,7000392000,0.4352711,1.36673e-06,-0.1739029,1.0007247,0.003357813,1.0,1
7000488000,7000488000,0.4353463,1.3648073e-06,0.12725943,1.000726,0.0017981351,1.0,1
7000592000,7000592000,0.43543747,1.3627258e-06,-0.2629314,1.0007241,0.0076758782,1.0,1
7000688000,7000688000,0.4355246,1.360845e-06,0.015770137,1.000726,2.7612981e-05,1.0,1
7000792000,7000792000,0.43558773,1.3588664e-06,-0.15170825,1.0007205,0.0025554243,1.0,1
7000888000,7000888000,0.43566498,1.3570916e-06,-0.18878809,1.0007195,0.003957257,1.0,1
7000992000,7000992000,0.43573812,1.3552271e-06,-0.25972444,1.0007166,0.007489831,1.0,1
7001096000,7001096000,0.4358141,1.3533926e-06,-0.15500228,1.0007162,0.0026676124,1.0,1
7001192000,7001192000,0.4358745,1.351731e-06,-0.3642531,1.000713,0.014731755,1.0,1
7001288000,7001288000,0.43594852,1.3501036e-06,-0.18136705,1.0007133,0.0036522844,1.0,1
7001392000,7001392000,0.4360211,1.348397e-06,-0.11176553,1.0007117,0.0013869612,1.0,1
7001488000,7001488000,0.4360886,1.3468807e-06,-0.26784045,1.0007085,0.007965302,1.0,1
7001592000,7001592000,0.43616533,1.3452684e-06,-0.16312121,1.0007071,0.0029544139,1.0,1
7001696000,7001696000,0.43624523,1.3437068e-06,-0.24490285,1.0007067,0.00665945,1.0,1
7001792000,7001792000,0.43630552,1.3422834e-06,-0.21562648,1.0007044,0.00516245,1.0,1
